transaction_id,record_number,origin_node_type,origin_host_name,origin_operator_id,host_name,local_sequence_number,current_service_class,voucher_based_refill,transaction_type,transaction_code,transaction_currency,refill_type,segmentation_id,voucher_group_id,account_currency,voucher_agent,origin_timestamp,transaction_timestamp,subscriber_number,account_number,voucher_serial_number,transaction_amount,source_file_path,processed_at
TXN1000010,11,INT,CMB,1003,HAAIR2,45832641,400,true,0000000002,VREFL,DJF,0,500,v2,DJF,AgentB,2024-02-22 16:46:00,2024-02-22 16:46:00,77776748,77776748,7988539462259,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000011,12,INT,CMB,1001,HAAIR2,72094395,300,true,0000000003,VREFL,DJF,0,100,v3,DJF,AgentA,2024-11-15 08:04:00,2024-11-15 08:04:00,77600806,77600806,4159127149281,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000012,13,ADM,CMA,1003,HAAIR1,99831404,400,false,0000000003,TOPUP,DJF,0,200,v1,DJF,AgentA,2024-12-10 03:58:00,2024-12-10 03:58:00,77533500,77533500,3436911183071,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000013,14,INT,CMC,1003,HAAIR3,16273508,400,false,0000000003,VREFL,DJF,0,200,v3,DJF,AgentB,2024-07-12 08:31:00,2024-07-12 08:31:00,77024379,77024379,5164614068002,500,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000014,15,EXT,CMA,1002,HAAIR1,43886218,300,true,0000000001,DATA,DJF,1,400,v3,DJF,AgentB,2024-12-18 23:38:00,2024-12-18 23:38:00,77844155,77844155,3324085321882,250,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000015,16,ADM,CMB,1001,HAAIR4,35775735,500,false,0000000003,VREFL,DJF,1,400,v1,DJF,Evatis,2024-07-30 02:28:00,2024-07-30 02:28:00,77451113,77451113,1575394772486,2000,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000016,17,EXT,CMA,1001,HAAIR1,50586649,500,false,0000000002,DATA,DJF,1,400,v1,DJF,AgentA,2024-04-09 22:57:00,2024-04-09 22:57:00,77018817,77018817,2962031652034,250,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000017,18,EXT,CMC,1001,HAAIR3,86077097,400,true,0000000003,TOPUP,DJF,1,100,v1,DJF,AgentB,2024-03-04 01:22:00,2024-03-04 01:22:00,77958935,77958935,1912430283536,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000018,19,EXT,CMB,1001,HAAIR2,63188285,400,true,0000000001,TOPUP,DJF,0,500,v2,DJF,AgentA,2024-09-04 13:29:00,2024-09-04 13:29:00,77462492,77462492,7647451208352,500,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000019,20,EXT,CMA,1002,HAAIR2,43069756,100,false,0000000001,TOPUP,DJF,0,200,v3,DJF,AgentB,2024-07-21 06:10:00,2024-07-21 06:10:00,77402012,77402012,1054760430973,5000,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000020,21,ADM,CMA,1001,HAAIR1,28478028,200,false,0000000002,DATA,DJF,1,500,v3,DJF,AgentB,2024-10-18 01:29:00,2024-10-18 01:29:00,77606932,77606932,9270775497422,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000021,22,ADM,CMC,1001,HAAIR2,87570651,400,true,0000000003,DATA,DJF,1,400,v1,DJF,Evatis,2024-10-29 22:29:00,2024-10-29 22:29:00,77213144,77213144,3605806925228,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000022,23,EXT,CMA,1001,HAAIR3,51696739,400,false,0000000002,TOPUP,DJF,1,200,v1,DJF,AgentA,2024-09-20 11:31:00,2024-09-20 11:31:00,77091541,77091541,2886740483095,2000,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000023,24,EXT,CMC,1002,HAAIR3,11753300,200,true,0000000003,TOPUP,DJF,1,400,v2,DJF,AgentA,2024-03-07 03:48:00,2024-03-07 03:48:00,77880978,77880978,7252317324815,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000024,25,ADM,CMB,1002,HAAIR4,40113481,300,true,0000000002,DATA,DJF,1,100,v1,DJF,AgentB,2024-11-22 05:39:00,2024-11-22 05:39:00,77232637,77232637,4716478401602,2000,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000025,26,ADM,CMB,1001,HAAIR2,37121931,500,true,0000000002,DATA,DJF,0,200,v2,DJF,AgentB,2024-09-21 23:27:00,2024-09-21 23:27:00,77114555,77114555,8965730945317,500,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000026,27,ADM,CMA,1002,HAAIR2,56329498,300,true,0000000002,DATA,DJF,0,400,v2,DJF,AgentB,2024-09-26 12:17:00,2024-09-26 12:17:00,77305804,77305804,9214219008226,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000027,28,INT,CMB,1003,HAAIR4,23789890,200,true,0000000001,DATA,DJF,0,400,v2,DJF,AgentB,2024-08-22 14:13:00,2024-08-22 14:13:00,77178365,77178365,1903685953397,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000028,29,INT,CMB,1001,HAAIR1,34211995,200,false,0000000001,TOPUP,DJF,0,400,v1,DJF,Evatis,2024-04-29 01:45:00,2024-04-29 01:45:00,77278437,77278437,8725736718728,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000029,30,INT,CMA,1002,HAAIR4,27792923,100,false,0000000003,TOPUP,DJF,1,100,v3,DJF,Evatis,2024-10-26 19:03:00,2024-10-26 19:03:00,77271743,77271743,9207353978686,1000,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000030,31,EXT,CMB,1001,HAAIR2,23155314,100,true,0000000001,VREFL,DJF,1,500,v1,DJF,AgentB,2024-11-24 21:05:00,2024-11-24 21:05:00,77724152,77724152,7775843155466,1000,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000031,32,INT,CMA,1001,HAAIR1,71671134,500,true,0000000002,VREFL,DJF,0,500,v3,DJF,Evatis,2024-06-18 13:56:00,2024-06-18 13:56:00,77616736,77616736,6919483472855,1000,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000032,33,EXT,CMC,1002,HAAIR3,77828330,400,true,0000000001,DATA,DJF,1,500,v1,DJF,AgentA,2024-10-31 23:44:00,2024-10-31 23:44:00,77918782,77918782,7189647368748,2000,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000033,34,EXT,CMC,1003,HAAIR3,95783686,200,true,0000000001,TOPUP,DJF,0,100,v2,DJF,AgentA,2024-06-21 04:14:00,2024-06-21 04:14:00,77207392,77207392,4553094208303,250,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000034,35,INT,CMC,1001,HAAIR4,67441886,100,true,0000000003,DATA,DJF,1,500,v3,DJF,AgentB,2024-06-15 13:07:00,2024-06-15 13:07:00,77723255,77723255,8813704205295,2000,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000035,36,EXT,CMA,1003,HAAIR3,74660237,300,true,0000000002,VREFL,DJF,0,500,v1,DJF,Evatis,2024-09-28 19:28:00,2024-09-28 19:28:00,77214411,77214411,8390208844197,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000036,37,INT,CMA,1002,HAAIR2,35264038,100,false,0000000001,DATA,DJF,1,100,v1,DJF,Evatis,2024-11-19 21:12:00,2024-11-19 21:12:00,77447190,77447190,2705747289286,2000,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000037,38,INT,CMB,1001,HAAIR4,69373429,300,true,0000000001,VREFL,DJF,1,200,v3,DJF,AgentB,2024-05-08 06:19:00,2024-05-08 06:19:00,77501724,77501724,8651207027359,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000038,39,ADM,CMB,1002,HAAIR2,37651430,100,true,0000000003,VREFL,DJF,0,400,v2,DJF,Evatis,2024-01-25 03:50:00,2024-01-25 03:50:00,77497564,77497564,3985023350528,250,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000039,40,INT,CMB,1002,HAAIR2,60262998,300,false,0000000003,TOPUP,DJF,1,400,v2,DJF,AgentA,2024-01-29 00:24:00,2024-01-29 00:24:00,77456618,77456618,3014515989728,250,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000040,41,ADM,CMB,1002,HAAIR1,37051484,100,false,0000000002,DATA,DJF,0,100,v3,DJF,AgentA,2024-05-18 23:40:00,2024-05-18 23:40:00,77396347,77396347,8506098613839,1000,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000041,42,INT,CMB,1002,HAAIR1,85986213,100,true,0000000003,TOPUP,DJF,0,500,v1,DJF,AgentA,2024-09-12 19:27:00,2024-09-12 19:27:00,77223552,77223552,4988890672266,250,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000042,43,INT,CMA,1001,HAAIR1,38008377,500,true,0000000002,VREFL,DJF,1,300,v2,DJF,AgentA,2024-08-07 10:16:00,2024-08-07 10:16:00,77797847,77797847,9389296542948,250,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000043,44,ADM,CMA,1003,HAAIR3,51227703,400,true,0000000002,VREFL,DJF,0,500,v1,DJF,AgentB,2024-06-26 16:38:00,2024-06-26 16:38:00,77351300,77351300,5421424294699,5000,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000044,45,ADM,CMC,1003,HAAIR1,19672486,200,true,0000000001,DATA,DJF,1,300,v2,DJF,Evatis,2024-05-26 11:13:00,2024-05-26 11:13:00,77897464,77897464,5217544752608,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000045,46,INT,CMC,1001,HAAIR2,89831555,400,true,0000000001,DATA,DJF,1,400,v1,DJF,Evatis,2024-07-19 17:27:00,2024-07-19 17:27:00,77325804,77325804,1398122450406,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000046,47,EXT,CMC,1001,HAAIR4,89277446,500,true,0000000001,DATA,DJF,1,100,v2,DJF,AgentA,2024-12-11 07:48:00,2024-12-11 07:48:00,77777668,77777668,4751847144718,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000047,48,ADM,CMC,1003,HAAIR4,22819963,300,false,0000000001,DATA,DJF,1,500,v1,DJF,Evatis,2024-04-02 10:14:00,2024-04-02 10:14:00,77685708,77685708,9027860111327,2000,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000048,49,EXT,CMA,1003,HAAIR2,63060731,400,true,0000000001,VREFL,DJF,1,100,v1,DJF,AgentA,2024-07-18 13:04:00,2024-07-18 13:04:00,77940191,77940191,1469840468344,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000049,50,EXT,CMA,1001,HAAIR3,11928563,200,true,0000000002,VREFL,DJF,0,500,v2,DJF,AgentB,2024-07-20 01:09:00,2024-07-20 01:09:00,77116406,77116406,9968552087904,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000050,51,EXT,CMA,1002,HAAIR4,28962745,200,false,0000000001,VREFL,DJF,1,500,v2,DJF,AgentB,2024-08-31 15:25:00,2024-08-31 15:25:00,77158569,77158569,9524391124732,500,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000051,52,ADM,CMB,1001,HAAIR2,34464568,300,true,0000000001,TOPUP,DJF,0,500,v1,DJF,AgentB,2024-09-10 05:24:00,2024-09-10 05:24:00,77223770,77223770,5670799180266,500,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000052,53,EXT,CMB,1003,HAAIR2,19538082,200,false,0000000001,TOPUP,DJF,0,300,v3,DJF,AgentA,2024-10-17 09:28:00,2024-10-17 09:28:00,77993794,77993794,3057194225308,1000,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000053,54,ADM,CMC,1002,HAAIR2,23860722,500,false,0000000002,TOPUP,DJF,1,100,v1,DJF,AgentA,2024-12-27 00:40:00,2024-12-27 00:40:00,77380544,77380544,4755658366309,250,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000054,55,EXT,CMB,1003,HAAIR4,20036748,400,false,0000000003,DATA,DJF,0,400,v3,DJF,AgentB,2024-01-23 21:51:00,2024-01-23 21:51:00,77288062,77288062,7548746860652,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000055,56,INT,CMA,1002,HAAIR4,75821716,200,true,0000000003,VREFL,DJF,1,200,v2,DJF,Evatis,2024-06-27 09:05:00,2024-06-27 09:05:00,77772475,77772475,7605382913969,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000056,57,INT,CMC,1003,HAAIR1,76574588,400,false,0000000001,TOPUP,DJF,0,300,v3,DJF,Evatis,2024-11-04 14:28:00,2024-11-04 14:28:00,77323244,77323244,5339266525414,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000057,58,ADM,CMC,1002,HAAIR1,42834514,100,false,0000000003,DATA,DJF,0,400,v1,DJF,Evatis,2024-02-24 07:40:00,2024-02-24 07:40:00,77357461,77357461,3403639015635,500,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000058,59,INT,CMB,1001,HAAIR2,15974273,400,true,0000000002,DATA,DJF,0,100,v2,DJF,AgentA,2024-06-30 06:35:00,2024-06-30 06:35:00,77559812,77559812,6283516984601,500,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000059,60,INT,CMC,1001,HAAIR2,38487467,300,false,0000000001,DATA,DJF,0,200,v2,DJF,AgentA,2024-05-30 07:05:00,2024-05-30 07:05:00,77983594,77983594,6559343076702,500,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000060,61,EXT,CMB,1002,HAAIR2,84484253,500,false,0000000002,VREFL,DJF,1,200,v3,DJF,AgentA,2024-12-15 11:38:00,2024-12-15 11:38:00,77972756,77972756,9292945151373,5000,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000061,62,ADM,CMB,1002,HAAIR2,64380502,200,false,0000000002,DATA,DJF,0,100,v2,DJF,Evatis,2024-03-05 17:00:00,2024-03-05 17:00:00,77918650,77918650,2430338158177,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000062,63,EXT,CMC,1001,HAAIR4,74821046,500,true,0000000001,TOPUP,DJF,1,300,v3,DJF,AgentB,2024-12-13 01:50:00,2024-12-13 01:50:00,77984075,77984075,9455681685270,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000063,64,EXT,CMB,1001,HAAIR1,46211148,400,false,0000000002,DATA,DJF,0,500,v1,DJF,Evatis,2024-04-24 20:20:00,2024-04-24 20:20:00,77680923,77680923,9457498961651,500,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000064,65,EXT,CMB,1002,HAAIR3,62619355,200,false,0000000001,VREFL,DJF,1,500,v2,DJF,AgentB,2024-02-24 05:49:00,2024-02-24 05:49:00,77182986,77182986,5326968100340,5000,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000065,66,EXT,CMB,1002,HAAIR2,20699945,500,true,0000000002,VREFL,DJF,0,500,v1,DJF,AgentB,2024-03-09 15:19:00,2024-03-09 15:19:00,77701582,77701582,5942442060003,250,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000066,67,EXT,CMB,1001,HAAIR1,93171099,300,false,0000000003,DATA,DJF,1,400,v3,DJF,AgentA,2024-08-13 13:14:00,2024-08-13 13:14:00,77970876,77970876,7843393774800,1000,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000067,68,EXT,CMC,1003,HAAIR2,45612381,100,true,0000000003,VREFL,DJF,1,100,v3,DJF,Evatis,2024-07-19 21:01:00,2024-07-19 21:01:00,77168229,77168229,6480416255741,500,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000068,69,EXT,CMA,1001,HAAIR4,85801960,100,false,0000000003,VREFL,DJF,1,300,v1,DJF,AgentB,2024-07-08 21:30:00,2024-07-08 21:30:00,77588093,77588093,8208113375546,2000,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000069,70,ADM,CMA,1002,HAAIR3,68467676,300,true,0000000002,TOPUP,DJF,1,100,v3,DJF,AgentA,2024-10-13 08:54:00,2024-10-13 08:54:00,77876834,77876834,3588904190207,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000070,71,INT,CMB,1002,HAAIR1,54837729,100,true,0000000001,TOPUP,DJF,1,200,v3,DJF,AgentA,2024-08-08 17:07:00,2024-08-08 17:07:00,77644335,77644335,5914905149678,250,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000071,72,EXT,CMB,1003,HAAIR1,10843186,300,false,0000000003,DATA,DJF,1,400,v1,DJF,Evatis,2024-01-17 07:35:00,2024-01-17 07:35:00,77274540,77274540,4093997789825,500,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000072,73,EXT,CMB,1001,HAAIR3,66999317,400,false,0000000001,VREFL,DJF,0,300,v1,DJF,AgentA,2024-12-20 08:25:00,2024-12-20 08:25:00,77823567,77823567,8393489199011,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000073,74,EXT,CMA,1002,HAAIR4,61924568,300,true,0000000003,VREFL,DJF,0,200,v2,DJF,Evatis,2024-08-31 04:35:00,2024-08-31 04:35:00,77672740,77672740,9396132206841,1000,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000074,75,EXT,CMB,1001,HAAIR3,26316493,100,false,0000000003,VREFL,DJF,1,500,v2,DJF,AgentA,2024-03-20 08:09:00,2024-03-20 08:09:00,77005823,77005823,1839160177851,1000,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000075,76,EXT,CMC,1002,HAAIR1,78794825,400,true,0000000002,TOPUP,DJF,1,500,v1,DJF,Evatis,2024-09-24 17:33:00,2024-09-24 17:33:00,77734862,77734862,3331486780867,500,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000076,77,EXT,CMC,1003,HAAIR3,28922057,300,false,0000000003,VREFL,DJF,0,500,v2,DJF,AgentA,2024-07-10 12:29:00,2024-07-10 12:29:00,77607455,77607455,6869071063083,500,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000077,78,INT,CMC,1001,HAAIR4,93131783,300,false,0000000001,TOPUP,DJF,1,100,v3,DJF,AgentB,2024-12-25 12:44:00,2024-12-25 12:44:00,77705599,77705599,7543184305651,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000078,79,INT,CMA,1001,HAAIR4,34412204,400,true,0000000001,VREFL,DJF,0,200,v2,DJF,Evatis,2024-10-27 15:22:00,2024-10-27 15:22:00,77338873,77338873,7696457534730,1000,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000079,80,EXT,CMB,1003,HAAIR2,50486949,200,false,0000000003,TOPUP,DJF,1,300,v2,DJF,AgentB,2024-07-23 21:53:00,2024-07-23 21:53:00,77145658,77145658,5556472506763,500,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000080,81,INT,CMB,1002,HAAIR3,81242143,100,false,0000000001,DATA,DJF,1,200,v3,DJF,Evatis,2024-02-02 14:18:00,2024-02-02 14:18:00,77395855,77395855,7497007588361,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000081,82,ADM,CMB,1002,HAAIR3,75354813,200,false,0000000001,DATA,DJF,0,300,v1,DJF,Evatis,2024-06-27 12:18:00,2024-06-27 12:18:00,77578400,77578400,7276440970851,500,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000082,83,EXT,CMA,1001,HAAIR1,59637868,400,false,0000000001,VREFL,DJF,1,400,v3,DJF,Evatis,2024-06-11 06:57:00,2024-06-11 06:57:00,77967335,77967335,3499825587743,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
